grid,time_to_solve
...6473....8....26..798....79......8.1..59.72.6.....914...3.......276..9.....8...,0.004001
.........42.....9...6...5......6.....7.........3.79.6...89.......9..7......4....1,0.189042
2..6...7.79.2......3...4.89....89.2.8.7..1.9....3..651....6...7.82.9..........1..,0.023005
2...935....948......65..831..16...7....2..3......3.42......6.486..9.4.5..8.....9.,0.01102
.4..9....6..5...4...2..1....6.3........4..3.6..78....59.8..42.32.......7..47835..,0.006999
..7.......8....45642.8...9.8...6...77.39.5...5..2.8..4.7....2.9.....4.35.3671....,0.004
....7....3............6...7..2.....8...5.......7....2..........29..4.....46...1..,0.713301
..8..3.4.......56...561..........4.719.84....824.5..9.4..3.1....36....75...4.9.3.,0.014002
.4........9............3.5......5.7.6....8......7.9..27......2..61.........2.....,0.027003
35..9..6...96.58.2..6718..548..5..93...3...177..8.2....1.28674...3..16.867543....,0.004001
....56.9....8.....459.2..8..8...19...1.3...6.6.329..7.2.....358..1.6...9.....8...,0.018019
..2...1......8..7..7.95...413...6......8....55...7..9..432.8.6.9.56.173...7......,0.003999
.9.....4...4...1...8.6............2.7...5......8....9..3......9..69...........4..,3.49937
..9..827...249.....6...2..8..7.1.38584..367....58..1....4...89.9......5467.......,0.007001
631.8...59.57.3.......62..3..2...56..5..9..2.34.2.....16.5.4..7....798.....3..1..,0.002995
49...........947...2368.......82...1...5...6..52.....3.68...9......17.3.914....5.,0.005017
.8.52........4...6.6.1..9....5..2.....3.....5.....................9.1.....7..5...,0.181585
....8.9..6.......2....13....23.........7..5......3........7.6....6..1....4......9,0.667195
.7..481...867513...3....8..2..9....58..6.......54...2...9.....3.6.8..9.71..5.4...,0.009009
8..2......6.9.8...1.5....9..3.4271.....8..45...7...238..36..84..9..7.....5..3....,0.010005
753..8....46.........3......719....39.........28.................9......16.4.....,0.023003
1....8..69....3.27..42.....5.7.91.....6.4.9.2...32......5.7.4....1....6.2.3.8..1.,0.007511
4....719........4..5..2.8.3..2..4.................5..2........4............6...3.,0.037003
.....734..97....282....6....8....4..3.58..6...7.4....294....8...3...8..9..8...261,0.009
...35..76.42....381857...9.37...8...61...4..7...........9.........6.71..76..92..5,0.007011
1...2....8......6..........9..7.1....78...2.........8.4....6............5...73..2,0.038007
.6....8...14.35....3...79..2.65.....7...2946..8.3..5...2..1..9..58...6......4....,0.006
....64.2..8...9............7...5..6....1.............9...2..........6......3..5..,49.906244
..5....3...96.7.2.18...5...3.8....1..9...3....7....6...4..7.8.22..1.....75.24....,0.03001
.6...9.5..4......7..58......2...183.8.9.25......76...47.........9......16.493.5.8,0.010999
..37...4.89..........31.....48.5....2..98.4..9...2.6..3..8...1.7.2..1....61....79,0.009012
..3....8........5....64.....3.8..7.2.......9..7..........58.....9.....2......1...,1.451567
.1..8..6...75...1.34............5....64.3......9.......3.72...................8..,0.894794
.9..5...............1......2..1.5...975...43.......689.........6...2...5.........,0.01802
.9......426...............2.3.9..6...5...........14.........8....4........3471...,0.223908
...8.45....8...2164.59.......4..9......58.9...5173.8..9.3......7..6.5...28......5,0.008
.....1..3.2..7.....6...5..........8..............2..7......4..5.8............39..,0.393772
.2.67.....5....3.....2....5......8.7.12.3...4.8....13.5....3.9..6.4.9.72...8...1.,0.007003
.8.3......63.7812.271.....4..2...8........5736..23.9.....7......584..7....4..5.91,0.005001
7...2.8...9.4.......37..5.....6.......62.9..55.9.3......5.18.298....2..7.4...3...,0.006997
.7..24.5....9....4468.....7.5.......7...1.5.3.8.5.346......6..8......1..5....132.,0.008009
267.13.5...16.8..2..5..27.4.4..25.....289.......7..34.5..46.2.849........2...7.13,0.006002
...........9723.........3........6...3...91.........4..2....5..9...8...18........,0.033007
..5.98.4....73.5..6.....8...2...6..8...9..413.4.8.2..78..1.97...1..87.3...2....5.,0.005001
4...2.9...9..1.2...1..378.........56..8.73..2...5...3.18..9.......2.5784.4.7.6.9.,0.005009
.9........6........2....1.............8.....954.......9..4.......2..79........8.3,0.379731
...7....3...........6..37..4.....1.2.8...5...9.........6......7.4.3......7.8.....,0.39157
7......2....469381.........3...52.....9...........1...........3...3.......1...4..,0.014003
91...8.2..7..3.....2..1...9..32.9.........5866821...43.3.65.9....1.....8.6..9...2,0.004001
.7...32.168.......91...8..486...5...4.5...9.....6.4.8..564.2...2...3...5....9.71.,0.005002
..5713...9..685.32....42..8.....82..3.....8.16......5..4...61......5469......9.73,0.005006
.53....1.9..8..6.....631.9...638.2....14.....5.4...76....574.81.4..28...3..1...5.,0.004001
2.4..1...8.3.4...9.......6....3..8.........1.5.16789...4.1..2.8.65..2..3.1.....74,0.005
...7......6.3...5.3..2..4.62.6....9..31.9.5.8.87...6..59...6.7...2.5.941.1...4..5,0.005
..5.6....1.4..9.......85.6.73...8.95.2.1...4..6.74.1......9..2.2.....31.491..3.8.,0.005005
1.3..86..5.9.........7..............8....34....6....7.......2......3.9.......2...,0.624604
..7.....2.......5....6.....2..............2..8..3.....1...5.8.......3.4...9..7...,0.194089
9....2....4...8..5.63........97...1...........1...3.6..31............4.......4...,0.017003
....8...4...4.........3.1....3...4......4...1.....7..6.......6.5.....2.8.....2..9,0.015004
.9..8...1..763........5..8.1....59.....3......587...1..2.5.81.48.6...39.3...6..75,0.007001
..3..........3..9497..6.12.................53.......1............2...6......28...,0.062519
..96...5..............2................3..5...8..4..7....91.........6..7..7.....9,0.441225
.....7..........9....2..51..3..........1.....8.........6.3..8....4...95.....41...,0.226604
...3....4.9...2...4..............6.8.....8........1..........4.7....53....1.7..5.,0.436898
....5.98....1.....8.........7...........2..9....8.6.........4..7..3...5.......63.,0.406286
.65.2.9..2....1.5..14.3..8.9...8..1....7..5....6..43..5....26......93...3.9.....4,0.008003
....1............7..7.......78.............32.4.....9....1.5.24......9...2.936...,0.651871
47.8..9........34.3..25.......4..69..61.8..73...3...18..4....8..3...4.5.5..9...2.,0.009514
8...5.......397...57..1...3..2.3..98..98...511.....3......4.5.22.8..3.49.....6.3.,0.074115
.4....5.28...6....975...6....97.....5......1...138.94..1.5.42...2.8.136..536.....,0.005006
..47.58.39.......215....6794....9..1.6.....4........68...2..91.2......5.8...173.6,0.062112
.4.6.3...68.....32.....59...............612894.829.1.......9..7.7...68.....12...3,0.01352
.8.......2......8......5..2........883..9.2.6.4.1.....5..91....7...3.............,0.566716
......8...6.......8.....4.....2...7.9.........7.......7.6..3.1.............45....,0.383145
.........92....48.....8.1...9...6..2.3.........6..8....7..1.............5.......7,0.251623
......3..8...............9.....5.6...7......1.2....8....39.....9.43.8......6.7...,1.084374
8..1.5.3..6..287....5....4............1.3659.2..5........3..6.193..1....41.....79,1.885252
.8.5..4.1........37..2916....61...979..87......5...1....4.39....6...793.3...5.21.,4.310726
3..7.6.........27.1..23.5...1.....25..2..8....................4...9.......5......,1.686019
..29...........7.115..8......................2.....4.7..........6..7....31....6..,0.303125
.3.....2.5.7.........1...6.........5....8..46...2...9........5...5........16....3,0.216644
..4..2..5..9....136..7.........69..7...4..5...6....8.92...3..64....7...8.4.98..2.,0.016002
58.....7..6...9.4.13.2.7.6...9.5.82.......1.4.....83.....6.....4..57.9..953.8.4..,0.013
...2......98.51...7.1....3.27....3.....4..8.......3.21..39.4....2....5138.7....6.,0.017007
.9.........4..8.39............2.4.........6.5.........8.....762........1...8.....,0.301631
.3.....7.5.69..3....9....8........1.......59..5......41....2..3.6................,0.300448
.284.7.51......7..1..532......153..76..8..2..5.4....3.7.......52...9.....1.7..84.,0.010002
...7.2..........6.3..9.............4...6....82.....3...7..6.....51....3......5...,0.288629
......2.7...6.38.467..................1.56....2.....5.2..............98........4.,0.265014
43....9..7.1..6..3.2...567....87.56.....1.3...63...84...743...8.9.......3.2......,0.010001
.....2.1.....639.....8..4.......6.4..6...1....3...5..8.......5........9........7.,0.422191
......73....8.7...5.8...6..........8....3219.1..54.3...86..54.7.7.....5.95..84...,0.017014
1..368..9......7.2......5.4.3.2.....6.2.....3..1.3.94..4...2.8...9....5..238..4..,0.014515
.2.69.....1..589.35......6..4.8.6.29..6..1.....93...46..8......7..5.9.........8..,0.009999
1.7...29.....4........7...5.....351.5.47.93......61.28785.3.......4..671.....2.8.,0.015001
......15.54...3..............9...2.7..26....5..5..........3........8....4.6...7..,0.117046
..7........9.....5......3........75.......9645..........1...2..96....1....8..3...,0.456271
....3528...2.71.....1..25.43.69..1....8...9.........43.5....8...2...63...6.4...1.,0.027007
8..4..2..7..2.58..9.1....5...7....89..69..5.7.8.642....2.194..5138.264....435.178,0.004
2.13....4.7.....53.3..1.9.659.....42..6..51...4..28..9...9.73.8...16.......25....,0.005
7...59..2.6.......9...2.4.....69...56.9513...35.....7...8...3...739..51...21....7,0.015005
.46..........3..1...2.............2..9......58.....7...51......92....5..6.......2,0.036013
5......8.....24.67.27.6.....7...8..1...29...491..5..28..5.436...4.9.....1.8..5...,0.012529
..98....1.....4..7..4..6.......72.........1....2......1.7.3............45.8..7...,0.330715
85..2....4...6..2...6.....3.71..3..4......5.8..54761..5....9........2..6.3.68...9,0.01102
6...2.....4.........7....8.......514....9..3..........9...6.7..4....9...3...1....,0.038533
2.3.......5.246....9......7.1....8......5.29..4..976.1..17..9.8..73.1..4....6..13,0.005001
..2...1.........72.71.....6.9.......3...5..1..8..........3....9...1.....4......53,0.055535
....37..271.....5..4.52..6...52..8..92.1....7.3..6.2.1.....1.36....5..8.8.14.25..,0.005002
.....9..6251..8.348....792.3....1.78...........824........8..69.9.56...76........,0.016004
.94.8...3..8.497....7..6.........5......724.6.7.1..2..75.93...12....4.8.......9..,0.013514
16.9..4...3...4.....7.6..2......75.6628.......59...8.2..1.2.......3....8...18..3.,0.019004
....4...5.....347...367.1.....8..2.3.9....7.1...7298.4..8.3.....1...69.86..9.754.,0.01
.9..85...7..2.61.5...34168.....527.4..2.69....16..739.2.......11.....5..4.......8,0.012005
9........2....4....4..59..7...4..85..95...4..4.23.1..6...74.1...6..12.4..79.6...3,0.014
179...8....851.3725...97...281..35......72....37168...69.82..45....51.....3...2.6,0.009007
.8....4..471....8..6.3...........5673........9...86...84.6....5...9.2.3852.8..9..,0.010997
9.3..4....5.1..23..2.....9.5..2..8..19..............433....2......9431758..6....9,0.009999
..5....42...1...6...2639..8...47.2.....85647..5...261.7.39.4..1......5.91..36....,0.010001
249.......5.......3..98..4..7..6...16...574394..3..8.75.7....8.1..7.3.......2.1..,0.018051
.......3....7...8.6.......5..4............9.3.....5...2....73.154.............5..,643.028073
....1.37..729.3.1...5.7.9.4......6..59..2.7.....14........31.8......7.2.....58.4.,0.607973
43.8....279.2.3...5..4..6....5.481....6.79....8.....46..3....6......692...7.9.5..,0.012
74..61....6..28..1.12...3591..39....5.71...8........72231..4.65.....59......7.8..,0.00651
.24...6.....4.9.2.6..38.7.9...6143....1.9..6.7.8....1..9..281.7.....62...4...7..5,0.005001
..........86......9........61...73....7...1..................9.24...8.1..5...98.7,0.20759
.......8.....27.4....5...9....98...6..........4..6.2......1.3...........8..7..1..,0.570516
.......82.26....1.7.19....6....7.6....58.6......4..3.9893.4.1....7.8..6..6...98..,0.014508
.5.421....6....5.......3......93..8..8..5.......7..9..........5......7......4....,324.451621
75..2...........5.....9....2..4.1...6.4...7...3...6.........2....3..8.....5....6.,0.394564
..6.....4..................3..1.4......9...8...8.5.....17.6......2......6.4.....5,0.017014
..2........7.......9..28..............31.......92...86......5.3.65....7.4........,0.300133
.1.7..........56.86...4.9..974.........8..516........4....74.3..9..1..527..5.216.,0.005002
5..4......39..1..46.....3...2.3....1..5.4..6..4.685....6....24.1..9.........74.8.,0.018004
1...57...7.3....6.....49..32....4..........2........7..6....39..2..............8.,0.1217
5...1.32.....2..5.4....9......24.8...92876.4..14.5..7..6..9.....5....9.1.47..2...,0.004
.....5.2...3...51....367...93...........53...1..2..8.......17.2827.4..6...56.9..1,0.005001
16.9.....7..21..6........3.3..6.82...2....57..45..73....235..86.1...6.4985.4.....,0.008002
..9...32.4..85.1.6.......4.9.4.1.2.58.....9...239...78..57.....39......71..2.....,0.016518
.2...8..7.......3...7..........1...6..9..........4.....5.19......3...8.....6.....,1.122489
...5....15..17..9.1.23....5261..7.3...7814.........2..8.........14..6....3.4..56.,0.007001
..5.......9..........3.78.4.1......5.4....9.82786.9.4.72..38.5..........5.67....2,0.010003
.68..95..1....6...7....49..3.9.....2..68..1..5..69.......46.3.584.5.7.2...7......,0.010014
965...4.28...71.3.....9..1.6.8.352.....2..3.6....4.....3......9....68..71.......8,0.007
...6.1.......2..1..8............4...8.5.....6..6..3......8........9............74,0.288134
..5.9.84.6.94.8...4...6.5.9...92...758...........43...9.8.1.3.........7.........6,0.009002
4...3625.1............8.....4.3..78286.....4.37..4.......75.3.......2..1..2.19...,0.010002
.......5.....2.......4...9......93..7...1.8..8....4......2......4.......6.......9,0.338861
6..539.....8.47..3.....21.64...5.86.96.....1.7...145...136.87...8.....59......2.8,0.004001
...........6..58.....2.....8...5..3..4..6.......4..........179.........5.92....1.,0.165585
.3.9.76..9..64...8....5..943721....6.89......5..4..1.9.9.87............27.5..18..,0.01
.56....7.4....36....1.9....9.....8568....132.1.2..69.....419..8..8...41....76..35,0.008003
....2....6.....5...49...........38............93..6...8..5........7..4....5....91,0.288621
..........7.1.68......2...61...6...89......4.3..4..9...2.................5.......,0.554738
4.8253..7.32..4.5....78.3..3..52......5..9.......7..9..67.....9.81.....6...6...1.,0.006495
.9..8.5..5..7.9124....24..7....1......2...678.6...7.9..5..43........1.5..86...7..,0.018005
....4.3.84.....6...9.8..12...6.24.8..4...15....5......9.......3......9.58...6..74,0.024525
......5..1....7.3..7....4........................8.1.6...5.....26....9.1..7.94...,0.294412
..6...2.8...795..1....64....3...2.4..5...7.9..19...3..4...235.......68..7...8..32,0.003999
..1..5....5.3..6...6......4.1....2...4.85.97.7....3.4.........2..56.9...97..4238.,0.01
...7......6.....18.....8..3..........1.....2...938.5........7......7.1..6.....4..,1.044458
........6.8.5.34..42..8.59..438....2.5.....3.6.1792......1..75.....5.8...7....6..,0.008001
.....4..5..7.........35......9......6...9.......2..6......8....3...21...........6,0.553648
...9..7..92.....3..362..1.8..9...5.4..57..6...6.....8.2..3...4678...6.5.6...8....,0.007508
9.21....7..152..8.6......21.8.9......47.83..5....67..42..6.51..316..2.7.......3..,0.010004
.1.4..5.....7.........2.7.1.......6.............532..89...........8..........1..4,0.465219
........14.2...5...7........................8.4....3.9.........7..25.8...6.......,0.400676
...43.2..8......31......8596.5.7...2..8.2..9...9381.....2.143...76.9..........4..,0.006996
.13........2..9.....9..8.7......5....5....4.....2....9...7...14...58.........6...,0.420304
16..........2..4.33....5...9.7..6...2.5...1.4....23..5.18......5.2938.4.......2.9,0.005001
....8.........7....1.......9.4.5.....32..............9........55..6.........7.3..,0.469289
.18............48....26..5.675.93..8...841.....46..57..3........5...27.64.2......,0.008002
.65...9....96..3...8....4....67..1.8.....3..7351.8...48..54..7.....9....7...2..5.,0.011002
...3.....1..9..4.......2........8........7.6.......5.....5......21.....9.5.4....6,0.14007
.1...34...7..59.8.53.....6.267..139.8....765...16.8.4.9.4.....8..29....7.........,0.005001
..23....19...82.3.87........5.....1.7.3....9......96..5.8.7...3..45.....2..6.35..,0.008001
.2....73....1....6..3.....8..5..72...175.....9.68.....89...5.6.7...4...1..2...3.5,0.008001
